EcoTypeID,VegID,treeSpecfrac,EcoTypeDescription
-999,GFBtr,0.5,Generic Broadleaf Tree
-999,GFNtr,0.5,Generic Needleleaf tree
2400,Acacia farnesiana,0.0006,Austin
2400,Acer negundo,0.007,Austin
2400,Albizia julibrissin,0.0001,Austin
2400,Arbutus xalapensis,0.0002,Austin
2400,Betula nigra,0.00002,Austin
2400,Broussonetia papyrifera,0.007,Austin
2400,Carya illinoinensis,0.039,Austin
2400,Celtis laevigata,0.042,Austin
2400,Celtis occidentalis,0.01,Austin
2400,Cercis canadensis,0.0004,Austin
2400,Cornus drummondii,0.00003,Austin
2400,Diospyros texana,0.002,Austin
2400,Eriobotrya japonica,0.0002,Austin
2400,Ficus carica,0.0009,Austin
2400,Fraxinus berlandieriana,0.005,Austin
2400,Fraxinus pennsylvanica,0.016,Austin
2400,Fraxinus texensis,0.004,Austin
2400,Fraxinus velutina,0.007,Austin
2400,Ilex vomitoria,0.0006,Austin
2400,Juglans nigra,0.004,Austin
2400,Juniperus ashei,0.331,Austin
2400,Juniperus virginiana,0.002,Austin
2400,Koelreuteria paniculata,0.0002,Austin
2400,Lagerstroemia indica,0.009,Austin
2400,Ligustrum japonicum,0.002,Austin
2400,Ligustrum lucidum,0.007,Austin
2400,Ligustrum sinense,0.009,Austin
2400,Magnolia grandiflora,0.0003,Austin
2400,Melia azedarach,0.01,Austin
2400,Morus alba,0.0006,Austin
2400,Morus rubra,0.0006,Austin
2400,Parkinsonia aculeata,0.0001,Austin
2400,Pinus taeda,0.003,Austin
2400,Pistacia chinensis,0.001,Austin
2400,Platanus occidentalis,0.008,Austin
2400,Populus deltoides,0.007,Austin
2400,Prosopis glandulosa,0.019,Austin
2400,Prunus laurocerasus,0.00001,Austin
2400,Prunus species,0.0001,Austin
2400,Pyrus calleryana,0.0004,Austin
2400,Quercus buckleyi,0.037,Austin
2400,Quercus fusiformis,0.002,Austin
2400,Quercus macrocarpa,0.0001,Austin
2400,Quercus muehlenbergii,0.0006,Austin
2400,Quercus nigra,0.0009,Austin
2400,Quercus polymorpha,0.0003,Austin
2400,Quercus shumardii,0.01,Austin
2400,Quercus sinuata,0.0014,Austin
2400,Quercus stellata,0.01,Austin
2400,Quercus texana,0.01,Austin
2400,Quercus virginiana,0.264,Austin
2400,Rhus lanceolata,0.00004,Austin
2400,Sapindus saponaria,0.0006,Austin
2400,Sideroxylon lanuginosum,0.001,Austin
2400,Sophora secundiflora,0.0006,Austin
2400,Taxodium distichum,0.0006,Austin
2400,Thrinax radiata,0.001,Austin
2400,Triadica sebifera,0.003,Austin
2400,Ulmus alata,0.001,Austin
2400,Ulmus americana,0.005,Austin
2400,Ulmus crassifolia,0.094,Austin
2400,Ulmus parvifolia,0.0001,Austin
2400,Ulmus rubra,0.0004,Austin
2401,Acer negundo,0.01,Houston
2401,Betula nigra,0.0005,Houston
2401,Carpinus caroliniana,0.0008,Houston
2401,Carya aquatica,0.0017,Houston
2401,Carya glabra,0.0008,Houston
2401,Carya illinoinensis,0.075,Houston
2401,Catalpa bignonioides,0.0003,Houston
