gridID,TreeFrac,CropFrac,ShrubFrac,HerbFrac
1,0.7151,0.0064,0.1509,0.1170
2,0.6867,0.0029,0.2013,0.0987
3,0.7420,0.0076,0.1250,0.1134
4,0.7105,0.0044,0.1465,0.1242
5,0.6548,0.0003,0.1869,0.1400
6,0.5792,0.0081,0.2473,0.1456
7,0.4237,0.0020,0.3613,0.1635
8,0.4647,0.0053,0.3367,0.1602
9,0.4094,0.0015,0.3617,0.1988
10,0.0898,0.1227,0.2179,0.4308
11,0.1662,0.0536,0.3210,0.4021
12,0.0287,0.4980,0.1163,0.3043
13,0.2301,0.2340,0.2132,0.2717
14,0.3240,0.0074,0.3738,0.2569
15,0.1810,0.0588,0.3426,0.3649
16,0.1097,0.0358,0.3508,0.4273
17,0.0450,0.0025,0.4011,0.4862
18,0.0303,0.0410,0.4020,0.4334
19,0.0258,0.0132,0.4686,0.4125
20,0.0320,0.0048,0.4794,0.4098
21,0.0362,0.0243,0.4672,0.3865
22,0.0349,0.0022,0.5187,0.3697
23,0.0170,0.0288,0.5136,0.3464
24,0.0126,0.0336,0.4765,0.3547
25,0.0270,0.0188,0.4942,0.3382
26,0.0070,0.0143,0.4856,0.3175
27,0.0172,0.0649,0.4508,0.2999
28,0.0896,0.0146,0.5070,0.3256
29,0.1051,0.0027,0.5243,0.3047
30,0.0545,0.0099,0.5376,0.2873
31,0.0200,0.0001,0.5617,0.3151
32,0.0150,0.0002,0.4941,0.3354
33,0.0146,0.0018,0.3804,0.3426
34,0.0027,0.0026,0.2846,0.2487
35,0.0033,0.0101,0.2613,0.2472
36,0.0113,0.0065,0.3333,0.3102
37,0.0103,0.0025,0.4195,0.2913
38,0.0176,0.0002,0.4956,0.2682
39,0.0921,0.0004,0.5341,0.2618
40,0.1364,0.0073,0.5179,0.2637
41,0.0700,0.0225,0.4806,0.2976
42,0.0862,0.0084,0.5113,0.2880
43,0.1303,0.0522,0.4478,0.2822
44,0.0965,0.0346,0.4570,0.3129
45,0.0669,0.1004,0.4180,0.3178
46,0.0595,0.1379,0.3920,0.3137
47,0.0819,0.0269,0.4690,0.3166
48,0.1516,0.0094,0.4077,0.2484
49,0.4014,0.0093,0.3675,0.1765
50,0.2404,0.0596,0.4006,0.2533
51,0.2263,0.1260,0.3487,0.2613
52,0.4411,0.0173,0.3251,0.1866
53,0.4638,0.0003,0.3528,0.1559
54,0.4318,0.0013,0.3772,0.1600
55,0.6010,0.0019,0.2782,0.1014
56,0.6018,0.0014,0.2477,0.0642
57,0.2664,0.0242,0.4867,0.1672
58,0.2308,0.0982,0.3898,0.2545
59,0.2522,0.1444,0.3234,0.2619
60,0.1643,0.2122,0.3029,0.2997
61,0.2083,0.0748,0.3818,0.3039
62,0.2424,0.0260,0.4711,0.2424
63,0.1777,0.0629,0.4198,0.3106
64,0.1485,0.0718,0.3951,0.3495
65,0.1548,0.0387,0.4497,0.3202
66,0.1633,0.0881,0.4329,0.2848
67,0.1579,0.1666,0.3784,0.2648
68,0.1486,0.2536,0.3187,0.2521
69,0.1532,0.2467,0.3332,0.2436
70,0.1775,0.3012,0.2838,0.2258
71,0.1771,0.2274,0.3430,0.2430
72,0.0306,0.7638,0.0651,0.1289
73,0.0041,0.8911,0.0119,0.0872
74,0.0005,0.8928,0.0076,0.0834
75,0.0032,0.9349,0.0075,0.0447
76,0.1070,0.4059,0.1704,0.2656
77,0.1845,0.1945,0.1940,0.3696
78,0.1888,0.0475,0.1776,0.2884
79,0.1400,0.0614,0.1127,0.3005
80,0.0239,0.0078,0.0380,0.0910
81,0.0000,0.0000,0.0000,0.0000
82,0.0000,0.0000,0.0000,0.0000
